Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes
I-1624-PA-023E;1624 Palermo Plague;Fosman y Medina, Gregorio;St Rosalia Interceding for the Plague-stricken of Palermo;1659;;Engraving;215 x 148 mm;;;;S. Rosalia Virgen Panormitana Ruogada contra la Peste;Unknown;Unknown;Madrid, Biblioteca Nacional de España INVENT/35502;"'S. Rosalia Virgen Panormitana Ruogada contra la Peste'; 'Gregorio. Forsiman F. en Madrid 1659'";;SENSORIALITÀ E MATERIALITÀ→Attenzione alla corporalità;foto Milena
I-1624-PA-023F;1624 Palermo Plague;Unknown;"Allegory of St Rosalia who throws Light on the Darkness; Altar of St Rosalia in the Convent of San Cayetano of Madrid";1668;;Engraving;;;;;;;;;;;;
I-1624-ZA-0240;1624 Zafra Earthquake;Unknown;Crucifixion;1624;;Woodcut;;P-1624-ZA-002F / 1624 Zafra Earthquake / Espantoso huracán que vino sobre la villa de Çafra, que fue Dios nuestro Señor servido sucediesse por nuestros grandes pecados, para que sea escarmiento a tantas maldades como cada día cometemos contra su divina Magestad. Dase cuenta de la grande ruyna que hubo de personas y haziendas, en este horrible y admirable terremoto. Este año de 1624 (This document is included in);Unknown;Unknown;Espantoso huracán que vino sobre la villa de Çafra, que fue Dios nuestro Señor servido sucediesse por nuestros grandes pecados, para que sea escarmiento a tantas maldades como cada día cometemos contra su divina Magestad. Dase cuenta de la grande ruyna que hubo de personas y haziendas, en este horrible y admirable terremoto. Este año de 1624;Cabrera, Juan  de;Seville;Madrid, Biblioteca Nacional de España VE/197/66;;;;
I-1625-BA-0518;1625 Barcelona Flood;Unknown;View of flooded city;;;Woodcut;;;;;;;;;;http://bdh-rd.bne.es/viewer.vm?id=0000264472&page=1;;
I-1626-SA-0241;1626 Salamanca Flood;Unknown;Madonna of the Rosary between St Dominic and St Catherine;1626;;Woodcut;;P-1626-SA-0030 / 1626 Salamanca Flood / Relación cierta de la gran crecida que tuvo, y ruyna que causó el río Tormes en la ciudad de Salamanca, en 26 de enero deste año MDCXXVI. Sucedió un gran milagro y fue, que halló dicha ciudad en la orilla del río una imagen de bulto de nuestra Señora del Rosario con el niño Jesús en sus braços de pies, y salió en processión el cabildo, con el obispo y toda la nobleza y gente de la ciudad y la llevaron en su catedral con gran devoción (This document is included in);[Finardo, Valerio];Unknown;Relación cierta de la gran crecida que tuvo, y ruyna que causó el río Tormes en la ciudad de Salamanca, en 26 de enero deste año MDCXXVI. Sucedió un gran milagro y fue, que halló dicha ciudad en la orilla del río una imagen de bulto de nuestra Señora del Rosario con el niño Jesús en sus braços de pies, y salió en processión el cabildo, con el obispo y toda la nobleza y gente de la ciudad y la llevaron en su catedral con gran devoción;Viuda de Córdoba;Valladolid;Madrid, Biblioteca Nacional de España VC/224/9;;https://www.bidiso.es/CBDRS/ediciones/BDRS0001702/2037/ejemplar/1610;;
I-1627-GA-0242;1627 Gargano Earthquake;Unknown;Rural Landscape;1627;;Woodcut;;P-1627-GA-0043 / 1627 Gargano Earthquake / Caso grandissimo occorso nel presente anno 1627 dove si sentono terremoti, e ruvine con morte di migliara di persone, che pareva proprio il giuditio universale. Essendosi sommerse in Puglia da 9 lochi principali. Dato in luce dal dottor Marco Ballerani napolitano (This document is included in);Ballerani, Marco;Unknown;Caso grandissimo occorso nel presente anno 1627 dove si sentono terremoti, e ruvine con morte di migliara di persone, che pareva proprio il giuditio universale. Essendosi sommerse in Puglia da 9 lochi principali. Dato in luce dal dottor Marco Ballerani napolitano;Arnazzini, Gregorio;Jesi;Paris, Bibliothèque Mazarine 8° 28644-22;;;;
I-1627-GA-0243;1627 Gargano Earthquake;Unknown;Salvator Mundi;1627;;Woodcut;;"I-1631-VE-025A / 1631 Vesuvius Eruption / Salvator Mundi (Same image as); I-1631-VE-028C / 1631 Vesuvius Eruption / Salvator Mundi (Same image as); I-1638-CA-02BA / 1638 Calabria Earthquake / Salvator Mundi (Same image as); P-1627-GA-0046 / 1627 Gargano Earthquake / Historico discorso del gran terremoto successo nel regno di Napoli, nella provincia di Capitanata di Puglia, nel corrente anno 1627, a dì 30 di luglio a hore sedici. Di Gio. Antonio Foglia, filosofo, e medico napolitano. Dedicato all'eccellenza del sig. duca d’Alba vicerè di Napoli (This document is included in)";"Foglia, Giovanni Antonio; Napoli, Geronimo di (Capuchin Provincial Minister)";Álvarez de Toledo y Pimentel, Fernando (Vice-roy);Historico discorso del gran terremoto successo nel regno di Napoli, nella provincia di Capitanata di Puglia, nel corrente anno 1627, a dì 30 di luglio a hore sedici. Di Gio. Antonio Foglia, filosofo, e medico napolitano. Dedicato all'eccellenza del sig. duca d’Alba vicerè di Napoli;Scoriggio, Lazzaro;Naples;London, British Library 444.c.41.(1);;http://access.bl.uk/item/viewer/ark:/81055/vdc_100026994941.0x000001;;
I-1627-GA-0244;1627 Gargano Earthquake;Unknown;"Chivalrous Novel Scene; Temple";1628;;Woodcut;;P-1627-GA-0047 / 1627 Gargano Earthquake / Relación verdadera de los espantosos y notables daños que hizo un grande terremoto en la Pulla, parte del reyno de Nápoles, a 30 de iulio 1627, traduzido de toscano en castellano de un memorial imbiado de Italia a un religioso grave de la orden de San Francisco desta ciudad de Barcelona (This document is included in);Unknown;Unknown;Relación verdadera de los espantosos y notables daños que hizo un grande terremoto en la Pulla, parte del reyno de Nápoles, a 30 de iulio 1627, traduzido de toscano en castellano de un memorial imbiado de Italia a un religioso grave de la orden de San Francisco desta ciudad de Barcelona;Matevad, Jayme;Barcelona;Barcelona, Universitat de Barcelona, Biblioteca de Reserva B-44/3/5-20;;https://www.bidiso.es/CBDRS/ediciones/BDRS0000489/165;;
I-1627-GA-0245;1627 Gargano Earthquake;Unknown;City View;1627;;Woodcut;;;;;;;;;;http://id.sbn.it/bid/RMLE038256;;foto MEGA
I-1627-GA-0246;1627 Gargano Earthquake;Unknown;View of the City hit by the Earthquake;1627;;Coloured woodcut;16,2 x 28,3 cm;;Villa De Poardi, Giovanni;;Relation, Von dem grossen schröcklichen Erdbidem, der sich im Königreich Napleß, in der Landtschafft Puglia den 30. Julii 1627. an einem Freytag begeben;Aperger, Andreas;Augsburg;;;https://research.britishmuseum.org/research/collection_online/collection_object_details.aspx?assetId=247406001&objectId=1449976&partId=1;;
I-1627-GA-0247;1627 Gargano Earthquake;Greuter, Matthaeus;Map of the Gargano Region;1627;;Engraving;250 x 320 mm;;;;;;;;;;;
I-1627-GA-0248;1627 Gargano Earthquake;[Kilian, Wolfgang ];View of the Gargano Region hit by the Earthquake;[1627];;Engraving;191 x 347 mm;;Villa De Poardi, Giovanni;;Terrae Ruinate Dal Terremoto Nella Provincia Di Puglia;Kilian, Wolfgang ;Augsburg;;'Terrae Ruinate Dal Terremoto Nella Provincia Di Puglia: = Die zerfallne erd, durch den Erdbidem, in der landschafft Puglia';https://www.digitale-sammlungen.de/en/view/bsb00102766?page=,1;TOPOI DELLA NARRAZIONE→Rovine;
I-1627-GA-0249;1627 Gargano Earthquake;Unknown;Noah's Ark;1627;;Woodcut;;"P-1627-GA-0048 / 1627 Gargano Earthquake / Nuova relatione del grande &amp; spaventoso terramoto successo nel Regno di Napoli nella provincia della Puglia, in venerdì, descritta da Gio. Villa de Poardi Bol (This document is included in)";Villa De Poardi, Giovanni;Unknown;"Nuova relatione del grande &amp; spaventoso terramoto successo nel Regno di Napoli nella provincia della Puglia, in venerdì, descritta da Gio. Villa de Poardi Bol";Neri, Giuseppe;Cesena;Forlì, Biblioteca Comunale Saffi PIANC SALA O STAMPATORI    095;;;;pdf Milena
I-1627-GA-024A;1627 Gargano Earthquake;Unknown;Landscape with human figures;1628;;Woodcut;;;;;;;;;;http://bdh-rd.bne.es/viewer.vm?id=0000254482&page=1;;
I-1627-GA-024B;1627 Gargano Earthquake;"Marinari, Orazio (Drawing); Briccio, Giovanni (Engraving)";Map of the Gargano Region;1627;;Woodcut;;P-1627-GA-004B / 1627 Gargano Earthquake / Vera relatione dell’horribile terremoto occorso in Puglia li 16 luglio del presente anno 1627. Dove s'intende la sommersione di diverse città, terre, e luochi di detta provincia. Con la morte di molte migliaia di persone (This document is included in);Unknown;Unknown;Vera relatione dell’horribile terremoto occorso in Puglia li 16 luglio del presente anno 1627. Dove s'intende la sommersione di diverse città, terre, e luochi di detta provincia. Con la morte di molte migliaia di persone;Pavoni, Giuseppe;Genoa;Rome, Biblioteca Universitaria Alessandrina XIV f3.33 43;"'TERRE RUINATE DAL TERAMOTO Nella Provincia di PUGLIA'; 'Quella parte della Puglia la quale hà patito per il terramoto l'Anno 1627 alli 30, di luglio, con li principali luochi desolati e guasti'; 'Horatio Marinari F. '; Gio. Briccio Del.'";;;foto Perrone
I-1627-GA-06B8;1627 Gargano Earthquake;Unknown;Epigraph placed in the church of S. Maria in Sylvis in Serracapriola to commemorate the restoration of the church damaged in the 1627 earthquake;1630;;Epigraph;;;;;;;;;HOC TEMPLUM DEI GENITRICI ET VIRGINI MARIAE IN SYLVIS NUNCUPATAE DICATUM Et DIRUTUM ANNO DOMINI MDCXXVII TERRAEMOTO D.DONATUS GENTILIS QUARTULANO ECCLESIAE SUMPTIBUS COOPERANTE CLERO EREXIT AUGUSTINO OCTAVIANO GABRIELLIS PROTONOTARIO APOSTOLICO ET ARCHYPRESBITERO AUCTORE SOLEMNI RITU LAPIDE IMPOSITO DE FACULTATE PETRI PAULI CAPUTI EPISCOPI LARINEUSIS URBANO VII PAPA SEDENTE ET SERRAE PIO AC OPTIMO PRINCIPE DOMINO ANDREA CONZAGA DOMINANTE SOLI DEO HONOR ET GLORIA ANNO DOMINI MDCXXX.;;COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo;
I-1627-GA-06C8;1627 Gargano Earthquake;Unknown;Epigraph placed in 1631 on the right door of the church of San Nicola in Torremaggiore to commemorate the reconstruction of the building that collapsed in the 1627 earthquake.Epigraph placed on the bell tower of the church of San Nicola in Torremaggiore in memory of Prince Paolo de Sangro's contribution to the reconstruction of the building that collapsed in the 1627 earthquake.;1631;;Epigraph;;;Fiore, Mario A.;;La chiesa matrice di Torremaggiore;Caputo, N.;Torremaggiore;;mille et sescentum viginti [...] / septem insolitis terraemotibus ecce ruit templum cum turri maiori postea structum exiguis populi sumptibus atque / fuit. 1631Perfecit templum princeps cui nomine paulus tertius / esangro sumptibus ipse suis 1631Urbani leges / divumque hominumque regentis octavi alma domus tempore structa fuit. Praesul Ferrus erat. Salsanus presbiter archi / curator Grassus nominis Ascanius 1631.;;COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo;
I-1627-GA-06CE;1627 Gargano Earthquake;Unknown;Epigraph on the facade of the church of Santa Margherita in San Severo in memory of the earthquake of 30 July 1627.;1630;;Epigraph;;;Checchia De Ambrosio, Giovanni;;Il municipio di San Severo, 1536-1861;Grafica Delfa;San Severo;;S.SEVERI CIVITAS OLIM DRION CASTRUM / SUPERBUM A DIOMEDE GRAECO CONDITUM / SUB ANNO MDCXXVII MEN. JULII DIE XXX HO. XVI / UNA CUM ALIQUOT CIRCUMVICINIS OPPIDIS / EX INGENTISSIMA TERRAE CONCUSSIONE / CUM INNUMERO CIVIUM INTERITU MISERRIME CORRUIT / CUIUS AD LUGUBREM MEMORIAM PATRIAEQ. ORNATUM AEDES / QUASI TUMULUM AERE PUBLICO CIVITATIS REGIMEN / RESTAURAVIT ET EREXIT ANN. MDCXXX / REGNANTE CATHOLICO REGE PHILIPPO IV AUSTRIO / DOMINANTE PAULO SANGRIO III PRINCIPE;;COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo;
I-1628-MA-024C;1628 Malaga Flood;Unknown;Landscape with two Horsemen;1629;;Woodcut;;"P-1628-MA-004D / 1628 Malaga Flood / Relatione dell’innondatione della città di Malaga cagionata dal fiume Guadalmedina, nella quale s’intende la grandissima rovina di case, magazeni, monasteri, &amp; la morte di molte persone, &amp; il numero infinito d’animali annegati con il danno di più di due millioni d’oro. Tradotta di spagnolo in italiano (This document is included in)";Unknown;Unknown;"Relatione dell’innondatione della città di Malaga cagionata dal fiume Guadalmedina, nella quale s’intende la grandissima rovina di case, magazeni, monasteri, &amp; la morte di molte persone, &amp; il numero infinito d’animali annegati con il danno di più di due millioni d’oro. Tradotta di spagnolo in italiano";Lerma, Emanuel;Verona;Weimar, Herzogin Anna Amalia Bibliothek Dd 8: 946 [c];;https://haab-digital.klassik-stiftung.de/viewer/epnresolver?id=3537424973;;
I-1628-MA-024D;1628 Malaga Flood;Unknown;The Four Winds blowing the Earth;1628;;Woodcut;;P-1628-MA-004E / 1628 Malaga Flood / Carta del Padre Comendador del convento de la Merced de la ciudad de Málaga, escrita al Padre Provincial de la misma orden, en que le da cuenta de la grande avenida de agua que en aquella ciudad hubo, sábado a la noche 23 de setiembre, y de las muchas pérdidas, ruynas, y muertes que sucedieron, en solo cinco horas, que duró el agua. Relación verdadera, y de que el autor da fe como testigo de vista (This document is included in);Unknown;Unknown;Carta del Padre Comendador del convento de la Merced de la ciudad de Málaga, escrita al Padre Provincial de la misma orden, en que le da cuenta de la grande avenida de agua que en aquella ciudad hubo, sábado a la noche 23 de setiembre, y de las muchas pérdidas, ruynas, y muertes que sucedieron, en solo cinco horas, que duró el agua. Relación verdadera, y de que el autor da fe como testigo de vista;Lyra, Francisco de;Seville;Seville, Biblioteca de la Universidad de Sevilla A 109/085(064);;https://archive.org/details/A109085064/page/n3;;
I-1628-MA-024E;1628 Malaga Flood;Unknown;"Human Figure measuring an Obelisk; Emblem of the Jesuit Order";1628;;Woodcut;;"I-1638-CA-02B8 / 1638 Calabria Earthquake / Human Figure Measuring an Obelisk (Same image as); P-1628-MA-004F / 1628 Malaga Flood / Copia de una carta que un capellán del cardenal Trejo, presidente de Castilla y obispo de Malaga, escribió a su señoría illustríssima, dándole cuenta de un diluvio e inundación que ha acaecido en la ciudad de Málaga, por el mes de setiembre 1628 (This document is included in)";Unknown;Unknown;Copia de una carta que un capellán del cardenal Trejo, presidente de Castilla y obispo de Malaga, escribió a su señoría illustríssima, dándole cuenta de un diluvio e inundación que ha acaecido en la ciudad de Málaga, por el mes de setiembre 1628;Liberós, Esteban;Barcelona;Barcelona, Universitat de Barcelona, Biblioteca de Reserva 07 B-4435-7;;https://www.bidiso.es/CBDRS/upload/ejemplares/4990/digitalizado/201711171238__b-44_4_3_4_5-7.pdf;;
I-1629-GR-024F;1629 Granada Flood;Unknown;St Augustine;1629;;Woodcut;;P-1629-GR-0052 / 1629 Granada Flood / Relación del admirable huracán y espantoso terremoto de agua y viento que por secretos juyzios de Dios nuestro Señor vino sobre la ciudad de Granada. Dase quenta de las muertes, y pérdidas y diligencias que el señor su arçobispo con sus limosnas hizo, y trabajos que el señor corregidor y Real Audiencia, y todos los ministros passaron para el remedio de ella. En este año de 1629. Con licencia del señor don Alonso Bolaño (This document is included in);Bolaños, Alonso;Unknown;Relación del admirable huracán y espantoso terremoto de agua y viento que por secretos juyzios de Dios nuestro Señor vino sobre la ciudad de Granada. Dase quenta de las muertes, y pérdidas y diligencias que el señor su arçobispo con sus limosnas hizo, y trabajos que el señor corregidor y Real Audiencia, y todos los ministros passaron para el remedio de ella. En este año de 1629. Con licencia del señor don Alonso Bolaño;Cabrera, Juan de;Seville;Granada, Universidad de Granada, Biblioteca del Hospital Real A-046-557 (6);;http://digibug.ugr.es/bitstream/handle/10481/19260/F-001-001%289%29.pdf?sequence=1&isAllowed=y;;
I-1629-GR-0250;1629 Granada Flood;Unknown;St Augustine;1629;;Woodcut;;P-1629-GR-0053 / 1629 Granada Flood / Relación cierta y verdadera, sacada y aiustada de los autos e informació[n] ante Álvaro Fernández de Córdova escribano público y iurado de la ciudad de Granada, en razón de la tempestad que hubo en la dicha ciudad martes en la tarde 28 de agosto deste año de 1629, día del bienaventurado S. Agustín, desde las dos de la tarde hasta las seis horas de la misma tarde. Recopilada por Christoval Bravo (This document is included in);Bravo, Cristóbal;Unknown;Relación cierta y verdadera, sacada y aiustada de los autos e informació[n] ante Álvaro Fernández de Córdova escribano público y iurado de la ciudad de Granada, en razón de la tempestad que hubo en la dicha ciudad martes en la tarde 28 de agosto deste año de 1629, día del bienaventurado S. Agustín, desde las dos de la tarde hasta las seis horas de la misma tarde. Recopilada por Christoval Bravo;Lorençana, Bartolomé de;Granada;Granada, Universidad de Granada, Biblioteca del Hospital Real A-044-113 (28);;http://hdl.handle.net/10481/13184;;
