Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1586-LE-05FD;1586 Lima Earthquake;Seville, Archivo General de Indias, Lima, 116. Papeles pertenecientes a los servicios del Conde de Villar, D. Fernando de Torres y Portugal [printed in L. Hanke, Los virreyes españoles, Peru, I. p. 219-220];Torres y Portugal, D. Fernando de ;Consejo de Indias;[1593];Lima;;Madrid;In his end-of-term report, the Viceroy recalls that the earthquake had destroyed buildings in many towns and villages, and claims to have done much to help rebuild. However, the description that follows concerns mainly the temporary accommodation provided for himself and other government bodies, and essentially meets financial reporting requirements;;;;;;;;;;;;
M-1586-LE-0664;1586 Lima Earthquake;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;Vázquez de Espinosa, Antonio;;ca. 1628 It was finished around that time.;;;;On p. 474, the author states that the cause of the Lima earthquake of 1586 was the existence of hot air trapped in the depths of the earth. The air, when it does not find a way out, ends up exploding and breaking the surface of the earth, as well as igniting the fire of volcanoes.;Spanish;;"1575 Valdivia earthquake;1582 Arequipa Earthquake;1600 Huaynaputina Eruption;1606 Momotombo Eruption;1619 Trujillo Earthquake";https://repository.si.edu/handle/10088/23742;;;;;;;;
M-1587-QU-0389;1587 Quito Earthquake;Seville, Archivo General de Indias, Quito, 8, r. 22, n. 65;Audiencia of Quito;Philip II;1588-08-06;Quito;;Court;The document contains a mention of the Quito earthquake;Spanish;;;;;;;;;;;
M-1587-QU-038A;1587 Quito Earthquake;Archivum Romanum Societatis Iesu, Provincia Novi Regni et Quitensis, vol. 14, ff. 2r-2v;Unknown;Unknown;;;;;Relacion del terremoto que ubo en la ciudad de Quito a los 30 de Agosto de 1587 sacada de lo que escrivieron al p.e Juan de Atiença de la Comp.a de Jhs del Peru. El p.e Joan de Hinojosa y otros padres de la mesma Comp.a a 12 de septiembre de 1587'. Report on the earthquake in Quito on 30 August 1587 based on the writings of Fathers Juan de Hinojosa and other Jesuit Fathers to Father Juan de Atienza on 12 September 1587';;;;;;;;;;;;
M-1589-MA-038B;1589 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 18A, r. 7, n. 46;Vera, Santiago de;Philip II;1589-07-13;Manila;;Court;Reference to Manila Earthquake;Spanish;;;;;;;;;;;
M-1591-SM-038C;1591 San Mateo Atenco Earthquake;Seville, Archivo General de Indias, México, 1092, l. 14;Philip II;Velasco, Luis de;1592-09-21;Burgos;;Mexico City;Request on San Mateo Atenco situation and on the possibility to move city;Spanish;;;;;;;;;;;
M-1594-SS-038D;1594 San Salvador Earthquake;Seville, Archivo General de Indias, Guatemala, 43, 65, 1;Consejo de Indias;Philip III;1602-06-27;Valladolid;;;Decisions by Philip III on the earthquake;Spanish;"M-1594-SS-038E / 1594 San Salvador Earthquake / Report on San Salvador earthquake;M-1594-SS-038F / 1594 San Salvador Earthquake / Report on San Salvador in the aftermath of the earthquake";;;;;;;;;;
M-1594-SS-038E;1594 San Salvador Earthquake;Seville, Archivo General de Indias, Guatemala, 43, 65, 2;Cabildo secular of San Salvador;Philip III;1601-04-04;San Salvador;;Valladolid;Report on San Salvador earthquake;Spanish;"M-1594-SS-038D / 1594 San Salvador Earthquake / Decisions by Philip III on the earthquake;M-1594-SS-038F / 1594 San Salvador Earthquake / Report on San Salvador in the aftermath of the earthquake";;;;;;;;;;
M-1594-SS-038F;1594 San Salvador Earthquake;Seville, Archivo General de Indias, Guatemala, 43, 66;Audiencia of Guatemala;Philip III;1604-05-03;Guatemala;;Valladolid;Report on San Salvador in the aftermath of the earthquake;Spanish;"M-1594-SS-038D / 1594 San Salvador Earthquake / Decisions by Philip III on the earthquake;M-1594-SS-038E / 1594 San Salvador Earthquake / Report on San Salvador earthquake";;;;;;;;;;
M-1595-BA-05DF;1595 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Registro de Deliberaciones, 1.B.II-104, f. 84r;Consell de Cent;;1595-06-07;Barcelona;;;;Catalan;;;https://catalegarxiumunicipal.bcn.cat/ms-opac/image-file/byte?f=/opt/baratz/mediasearch/cache/raw/1/00000455/1109926/2026230111111.pdf;;;;;;;;
M-1597-MC-0390;1597 Mexico City Earthquake;Seville, Archivo General de Indias, México, 23, n. 95;Zúñiga y Acevedo, Gaspar de;Philip II;1597-11-27;Mexico City;1598-11-03;Court;The document contains a mention of the Mexico City earthquake;Spanish;;;;;;;;;;;
M-1599-CA-0661;1599 Camaná Earthquake;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;;;;;;;On p. 463 Vázquez de Espinosa claims that the earthquake caused a tsunami that swept away the Camaná vineyards, which had to be transferred to an area south of the river.;Spanish;;;;;;;;;;;
M-1600-HU-0391;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Medina, Alonso de;"Audiencia of Lima; Cabildo of Lima";1600-03-01;Lima;1600-03-01;Lima;File titled La Ciudad de Arequipa a Lima 1601 [yet, the petition is dated 1600]. The procurator reports on the eruption and earthquakes and the ruin of Arequipa. This is followed by a detailed description of the different phases of the eruption and the phenomena that preceded it.;Spanish;;;;;;;;;;;
M-1600-HU-0392;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 34, Cartas y expedientes de virreyes de Perú, exp. 6;Velasco, Luis de;Consejo de Indias;1600-05-08;Callao (Lima);;Madrid;A detailed account of attacks and raids by Dutch pirates along the Chilean and Peruvian coasts between late 1599 and early 1600, with interesting data on the information exchanged by the Viceroy with other Spanish officers stationed along the east coast. The flow of information is interrupted by the eruption of the volcano and some of the effects are described.;Spanish;;;;;the first news of the eruption is received by the Viceroy on 5 March 1600;;;;;;
M-1600-HU-0393;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Arequipa;Consejo de Indias;1601-03-30;Arequipa;;Madrid;After a brief summary of the phenomena linked to the eruption and their consequences, the members of the Cabildo praise the efforts of the corregidor Juan Hurtado de Mendoça and wish that he be rewarded by the King;Spanish;M-1600-HU-0396 / 1600 Huaynaputina Eruption / The members of the Cabildo praise the efforts of the corregidor Juan Hurtado de Mendoça, especially during the emergency management, and wish that he be rewarded by the King (Very similar to);;;;;;;;;;
M-1600-HU-0394;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Alvarado Bracamonte, Juan de;Consejo de Indias;1603-12-23;Arequipa;;Madrid;File titled Memorial del procurador general de la Ciudad de Arequipa. It summarises 4 requests made by the city to the King to mitigate its troubles;Spanish;M-1604-AE-039C / 1604 Arica Earthquake / After recalling the damage caused by the eruption in 1600 and the pleas for help to the king made in 1603, the Procurator informs that in 1604 Arequipa has been hit by a strong earthquake, which has produced serious damage and casualties. He begs the king to order the viceroy to relieve the city's burdens without the delays that characterised the previous request.;1582 Arequipa Earthquake;;;;;;;;;
M-1600-HU-0395;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Mendoza, Juan Hurtado de;Consejo de Indias;1601-09-18;Arequipa;;Madrid;The file contains transcripts of the testimonies of 5 witnesses in support of the corregidor. Witnesses praise the corregidor's attitude in the management of the emergency due to the eruption, and state that he deserves an award from the King.;Spanish;;;;;;;;;;;
M-1600-HU-0396;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Arequipa;Consejo de Indias;1602-03-27;Arequipa;;Madrid;The members of the Cabildo praise the efforts of the corregidor Juan Hurtado de Mendoça, especially during the emergency management, and wish that he be rewarded by the King;Spanish;M-1600-HU-0393 / 1600 Huaynaputina Eruption / After a brief summary of the phenomena linked to the eruption and their consequences, the members of the Cabildo praise the efforts of the corregidor Juan Hurtado de Mendoça and wish that he be rewarded by the King (Very similar to);;;;;;;;;;
M-1600-HU-0397;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Arequipa;Consejo de Indias;1602-03-30;Arequipa;;Madrid;Several pleas to the King in support of abbot Martin de Unsunolo. Among the others, the members of the Cabildo praise the abbot's habits and actions in the service of the faith and the church of Arequipa, and ask the king to give them annuities to compensate him for the goods lost due to the eruption.;Spanish;;;;;;;;;;;
M-1600-HU-0398;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 2, Consultas originales del Consejo, exp. 283;Consejo de Indias;Philip III;1604-09-25;Valladolid;;Valladolid;The Council summarises several reports sent by the Viceroy in 1601 and 1602, in which the lasting consequences of the eruption on the Arequipa territory and the request made by the vecinos for tax exemptions are reported. The Council proposes to the Sovereign to approve the exemption already granted by the Viceroy, but in case of new claims asks the Viceroy to report again on the state of the city;Spanish;;;;;;;;;;;
M-1600-HU-0399;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 2, Consultas originales del Consejo, exp. 449;Consejo de Indias;Philip III;1608-07-10;Madrid;;Madrid;Following a petition by the female Monasterio de Nuestra Señora de los Remedios de la Orden de Santo Domingo, originally founded in Arequipa and relocated in Cuzco after the eruption. The nuns ask for annuities to be granted to them, since the monastery's properties located in the Arequipa area are all unproductive due to the eruption;;;;;;;;;;;;
M-1600-HU-039A;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Arequipa;Consejo de Indias;1606-09-15;Arequipa;;Madrid;The Arequipa cabildo requests that the city be made an Episcopal see, because the rents from its lands are taken from the bishop of Cuzco. if it becomes an episcopal see, the rents could be used to rebuild the religious buildings damaged by the recent eruption and earthquake;Spanish;;1604 Arica Earthquake;;;;;;;;;
M-1600-HU-039B;1600 Huaynaputina Eruption;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Farfán de los Godos, Antonio;Consejo de Indias;1621-04-07;Arequipa;;Madrid;The procurator's plea, accompanied by a letter from the Cabildo of Arequipa, recalls the recent calamities and in particular the damage caused to the main church, which will have to house the new bishop, and requests a subsidy from the sovereign in order to rebuild it;Spanish;;1604 Arica Earthquake;;;;;;;;;
M-1600-HU-064F;1600 Huaynaputina Eruption;Copenhaguen, Royal Danish Library , GKS 2232 4°;Poma de Ayala, Felipe Guaman;;before 1616;;;;Nueva corónica y buen gobierno. In volume 2, p. 416, the chronicler refers to the destruction of Arequipa by the eruption of the Huaynaputina volcano as a result of divine punishment. The people who managed to save themselves did so thanks to their prayers addressed to the Virgin, the saints and the angels. According to Poma de Ayala, Arequipa was devastated by fire, but in one of the images of that city and Arica that his work includes (volume 2, pp. 397 and 399) , he also refers to the ash that for days prevented seeing the sky in both cities.;Spanish;"I-1600-HU-0653 / 1600 Huaynaputina Eruption / The city of Arica buried by the ashes of Huaynaputina after the eruption of 1600 (This document includes);I-1600-HU-0656 / 1600 Huaynaputina Eruption / The city of Arequipa buried by the ashes of Huaynaputina after the eruption of 1600 (This document includes)";;"Vol. 1: https://archive.org/details/guaman-poma-de-ayala-felipe.-nueva-coronica.-tomo-i-ocr-1980
Vol. 2: https://archive.org/details/guaman-poma-de-ayala-felipe.-nueva-coronica.-tomo-ii-ocr-1980/page/396/mode/2up?q=arequipa&view=theater";;;;;;;;
M-1600-HU-0662;1600 Huaynaputina Eruption;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;Vázquez de Espinosa, Antonio;;ca. 1628;;;;The author, on p. 469, states that the ash from the eruption spread over 200 leagues and reached the ships that were sailing. Vázquez de Espinosa claims that at the time of writing there was still a lot of ash for more than 150 leagues, which he himself had seen. According to witnesses, many incandescent pumice stones fell into the Tambo river and ended up devastating farms and their livestock. When the river flowed into the sea, it ended up cooking the fish and, according to the author, it was thanks to God that their corpses did not cause a plague. The ash rain lasted seven days, prevented the sun from being seen and caused many houses to fall and burn down. The earth was scorched by the ash, which prevented it from producing fruit for a long time, as it does today.Vázquez de Espinosa's account includes the report of the soldier Pedro de Vivar (pp. 470-474) who relates the evolution of the effects of the eruption on Arequipa. According to Pedro de Vivar, in the first days, the population did not know that the rain of ash that plunged the city into darkness had been caused by the eruption of the volcano. Although some already suspected that it might have been caused by the neighbouring volcano, at first, the population considered other possibilities: that it had been caused by the sea or that it was the end of the world. Vivar's account goes into detail on the processions that took place, in which various images were exhibited, such as those of Christ, Santa Marta (advocate for the earthquakes in Arequipa), San Jacinto, San Francisco, Nuestra Señora de Copacabana, del Rosario, de Gracia and de la Consolación, as well as various relics. The soldier details the reaction of the Indians: some offered human sacrifices to the volcano, which Vivar identifies as the devil, and others decided to hang themselves, convinced by the devil. Likewise, the author of the account also points out the prominence of the religious orders in the organised religious rituals, specifically the Society of Jesus, the Dominicans (such as the prior Domingo Peres) and the Augustinians (the prior Diego Gutierres stands out). He recalls the effects on the Tambo river, transformed into a river of fire that cooked the fish once it flowed into the sea.;Spanish;;"1575 Valdivia earthquake;1582 Arequipa Earthquake;1586 Lima Earthquake;1606 Momotombo Eruption;1619 Trujillo Earthquake";https://repository.si.edu/handle/10088/23742;;;;;;;;
M-1600-HU-06ED;1600 Huaynaputina Eruption;Oviedo, Biblioteca Universitaria, M-215;Ocaña, Diego de;;[ca. 1605] It was finished around that time. The friar's journey took place between 1599 and 1605.;;;;The manuscript has been entitled a posteriori 'Relación del viaje de fray Diego de Ocaña por el Nuevo Mundo (1599-1605)'.In the report, the friar states that although he did not witness the disaster, he heard the noise it generated even though he was many leagues away from the city of Arequipa. He describes day by day the rain of ash and fire caused by the eruption of the volcano, as well as the behaviour of the population, who initially did not know that the Huaynaputina volcano was the cause of these phenomena. He focuses on the processions of images (of Our Lady of Consolación, Santa Marta and the Blessed Sacrament), the destruction of crops, water sources and the indigenous villages near the volcano (Ornate and Puquiña). It was only thanks to the arrival of a Spaniard from the village of Ornate that the population of Arequipa learned that the cause of the phenomenology was the eruption of the volcano.  Diego de Ocaña claims to have written the report in the convent of San Francisco de Arequipa thanks to the testimonies of several witnesses of the event.;Spanish;;;;SENSORIALITÀ E MATERIALITÀ→Sensazioni uditive;;;;;;;
